seed,model,kernel,pca_components,C,gamma,inner_cv_f1_mean,inner_cv_f1_std,inner_cv_accuracy_mean,inner_cv_accuracy_std,inner_cv_roc_auc_mean,inner_cv_roc_auc_std,n_folds
42,RBF SVM — PCA 4,rbf,4,100.0,1.0,0.893357767148812,0.02536829639267153,0.9142857142857143,0.02382360811942727,0.9725490196078432,0.0076743002858939875,5
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,0.01,none,0.0,0.0,0.6263736263736264,0.0,0.9626418988648091,0.01057225049046607,5
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,0.1,none,0.5759796172593548,0.14522088759708165,0.778021978021978,0.05293008606062546,0.9624355005159959,0.01134252356163799,5
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,1.0,none,0.871281863916135,0.06713444562023267,0.9076923076923077,0.04504154182839382,0.9687306501547989,0.009895826895994764,5
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,10.0,none,0.8556690368455074,0.01933677658760495,0.8923076923076924,0.016299337334276187,0.9600619195046439,0.00718328526534359,5
42,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,100.0,none,0.8146013419940104,0.04249844226234924,0.8659340659340659,0.026235904145743547,0.9424148606811146,0.021129385167504244,5
123,Linear SVM — PCA 2,linear,2,0.01,none,0.9126916263159147,0.044873353287785286,0.9384615384615385,0.029690672716717163,0.9862745098039216,0.013805180022726064,5
123,Linear SVM — PCA 2,linear,2,0.1,none,0.9249090515800444,0.04724460863780454,0.945054945054945,0.033870406609719676,0.9871001031991744,0.01278066674561489,5
123,Linear SVM — PCA 2,linear,2,1.0,none,0.9319218700399752,0.04699629658843464,0.9494505494505494,0.03351197952082839,0.9874097007223941,0.013324288356309144,5
123,Linear SVM — PCA 2,linear,2,10.0,none,0.9291889507853167,0.04558423512073053,0.9472527472527472,0.03241292572253327,0.987719298245614,0.01295344921322954,5
123,Linear SVM — PCA 2,linear,2,100.0,none,0.9291889507853167,0.04558423512073053,0.9472527472527472,0.03241292572253327,0.987719298245614,0.01295344921322954,5
123,RBF SVM — PCA 2,rbf,2,0.01,scale,0.45594315245478034,0.10501372738707633,0.7384615384615385,0.032412925722533285,0.9762641898864809,0.019743164571423076,5
123,RBF SVM — PCA 2,rbf,2,0.01,auto,0.0,0.0,0.6263736263736264,0.0,0.9688338493292055,0.02171049182405943,5
123,RBF SVM — PCA 2,rbf,2,0.01,0.01,0.0,0.0,0.6263736263736264,0.0,0.9794633642930857,0.017392964869078802,5
123,RBF SVM — PCA 2,rbf,2,0.01,0.1,0.011428571428571429,0.025555062599997597,0.6285714285714286,0.004914435115384135,0.9746130030959751,0.02026688331314823,5
123,RBF SVM — PCA 2,rbf,2,0.01,1.0,0.0,0.0,0.6263736263736264,0.0,0.968937048503612,0.025754345935709504,5
123,RBF SVM — PCA 2,rbf,2,0.1,scale,0.8973755411255411,0.044741299045265435,0.9274725274725275,0.030690637458832867,0.9820433436532507,0.016888127896244935,5
123,RBF SVM — PCA 2,rbf,2,0.1,auto,0.8957992645468311,0.054941226746698164,0.9208791208791208,0.04284305206509434,0.9687306501547989,0.02231525552706185,5
123,RBF SVM — PCA 2,rbf,2,0.1,0.01,0.8909684312103667,0.04037951135155964,0.9252747252747252,0.026235904145743595,0.98328173374613,0.01481456409230474,5
123,RBF SVM — PCA 2,rbf,2,0.1,0.1,0.899008193299238,0.04177272787657893,0.9274725274725275,0.02969067271671715,0.9789473684210528,0.017369987671761407,5
123,RBF SVM — PCA 2,rbf,2,0.1,1.0,0.8887641028066191,0.046314050847670735,0.9208791208791208,0.033331320633193634,0.9695562435500517,0.025019149478639112,5
