seed,pca_components,n_qubits,reps,entanglement,accuracy,precision,recall,f1,roc_auc,kernel_backend,statevector_generation_time,kernel_matrix_time,classifier_fit_time,prediction_time,total_runtime,condition_number,min_eigenvalue,max_eigenvalue,trace,effective_rank,offdiag_mean,offdiag_std,offdiag_min,offdiag_max,offdiag_median,offdiag_q25,offdiag_q75
42,4,4,3,linear,0.7456140350877193,0.6585365853658537,0.6428571428571429,0.6506024096385542,0.8382936507936508,exact_statevector_gram,1.1363659999988158,0.0020006999984616414,0.0027192999987164512,0.0006976000004215166,1.1417835999964154,5.47966673919179e+16,-6.528124989154321e-15,49.77257413428356,455.0,90.00287912559709,0.09815790041337635,0.11008260394647602,1.4355341821277713e-07,0.9762376190032972,0.06208587782198505,0.024394785858439825,0.13162776023691092
42,4,4,3,full,0.7543859649122807,0.7916666666666666,0.4523809523809524,0.5757575757575758,0.8382936507936507,exact_statevector_gram,1.8908924999996088,0.0027270999999018386,0.004699199998867698,0.0014048999946680851,1.8997236999930465,3.269790567304169e+16,1.2312086902924875e-15,38.921518405062955,455.0,134.50385941577898,0.0794385781487022,0.07810790107411059,3.3355423272330636e-06,0.9526961246540396,0.05643902328888171,0.023584702055261274,0.11103612993003029
123,2,2,1,linear,0.9298245614035088,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9738756613756614,exact_statevector_gram,0.2502959999983432,0.0016720999992685392,0.0022517000033985823,0.0007728000055067241,0.254992600006517,3.319203468171594e+19,-3.855036678527072e-14,163.31250942411174,455.0,7.2645726419269785,0.3281926297887239,0.2922836143377489,1.7526825560774942e-06,0.9999894419112013,0.23007758833962433,0.0850525219826662,0.5220795092706998
123,2,2,1,full,0.9298245614035088,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9738756613756614,exact_statevector_gram,0.26996840000356315,0.0016307000041706488,0.002977600001031533,0.0010573999970802106,0.27563410000584554,3.319203468171594e+19,-3.855036678527072e-14,163.31250942411174,455.0,7.2645726419269785,0.3281926297887239,0.2922836143377489,1.7526825560774942e-06,0.9999894419112013,0.23007758833962433,0.0850525219826662,0.5220795092706998
123,2,2,2,linear,0.8771929824561403,0.8888888888888888,0.7619047619047619,0.8205128205128205,0.9702380952380952,exact_statevector_gram,0.4418630999934976,0.00168830000620801,0.002162699995096773,0.0006059000006644055,0.4463199999954668,8.895168536069664e+19,-9.012717743392448e-14,230.03897631976423,455.0,5.905695470199172,0.4599870178408579,0.27979828888470537,1.1841825551412203e-05,0.9999843960212866,0.4400473828023507,0.22780327770508146,0.6879284318188209
123,2,2,2,full,0.8771929824561403,0.8888888888888888,0.7619047619047619,0.8205128205128205,0.9702380952380952,exact_statevector_gram,0.37309470000036526,0.001226599997607991,0.0021158000017749146,0.0005735999948228709,0.37701069999457104,8.895168536069664e+19,-9.012717743392448e-14,230.03897631976423,455.0,5.905695470199172,0.4599870178408579,0.27979828888470537,1.1841825551412203e-05,0.9999843960212866,0.4400473828023507,0.22780327770508146,0.6879284318188209
123,2,2,3,linear,0.8859649122807017,0.8717948717948718,0.8095238095238095,0.8395061728395061,0.9477513227513228,exact_statevector_gram,0.5639531999986502,0.0018515999981900677,0.003756099999009166,0.001596300004166551,0.571157200000016,1.247052344049561e+20,-4.301543006494403e-14,248.67251966555654,455.0,5.604541123613586,0.502709635120943,0.2663937783153908,7.619968375210688e-06,0.9999719231610585,0.510103330255639,0.28548532560191153,0.7215752905569875
123,2,2,3,full,0.8859649122807017,0.8717948717948718,0.8095238095238095,0.8395061728395061,0.9477513227513228,exact_statevector_gram,0.5545018999982858,0.0011335999952279963,0.0021991000030539,0.0006919000006746501,0.5585264999972424,1.247052344049561e+20,-4.301543006494403e-14,248.67251966555654,455.0,5.604541123613586,0.502709635120943,0.2663937783153908,7.619968375210688e-06,0.9999719231610585,0.510103330255639,0.28548532560191153,0.7215752905569875
123,4,4,1,linear,0.9122807017543859,0.9210526315789473,0.8333333333333334,0.875,0.9580026455026455,exact_statevector_gram,0.47207569999591215,0.0022059000039007515,0.002962200000183657,0.000946300002397038,0.4781901000023936,7.648784434394627e+18,-5.9460153003466345e-15,45.1202035374682,455.0,68.37220429853748,0.0833696697023446,0.13289904305655564,1.3591773491811857e-07,0.9923287450820202,0.03526586542720209,0.011146306104728823,0.0921265417208652
123,4,4,1,full,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9917328042328042,exact_statevector_gram,0.7503870000000461,0.0019189000013284385,0.0024946999983512796,0.0006413000010070391,0.7554419000007329,1.525526049191634e+19,-4.176558789725161e-15,48.87740089904774,455.0,92.66509533443232,0.09815245554695269,0.10382247603873825,3.528365929074398e-07,0.9804018119736561,0.06556706921728618,0.025489674806008656,0.1361077839796773
