seed,pca_components,n_qubits,inner_fold,reps,entanglement,C,n_inner_train,n_inner_validation,kernel_cache_id,kernel_runtime_shared_across_C,inner_accuracy,inner_precision,inner_recall,inner_f1,inner_roc_auc
123,4,4,2,3,full,0.1,364,91,seed=123|dim=4|fold=2|reps=3|ent=full,1.1566520000051241,0.6263736263736264,0.0,0.0,0.0,0.6816305469556243
123,4,4,2,3,full,1.0,364,91,seed=123|dim=4|fold=2|reps=3|ent=full,1.1566520000051241,0.6483516483516484,0.5454545454545454,0.35294117647058826,0.42857142857142855,0.676986584107327
123,4,4,2,3,full,10.0,364,91,seed=123|dim=4|fold=2|reps=3|ent=full,1.1566520000051241,0.6483516483516484,0.5357142857142857,0.4411764705882353,0.4838709677419355,0.6470588235294118
123,4,4,2,3,full,100.0,364,91,seed=123|dim=4|fold=2|reps=3|ent=full,1.1566520000051241,0.6153846153846154,0.4827586206896552,0.4117647058823529,0.4444444444444444,0.6124871001031992
123,4,4,3,1,linear,0.01,364,91,seed=123|dim=4|fold=3|reps=1|ent=linear,0.30470120000245515,0.6263736263736264,0.0,0.0,0.0,0.9287925696594427
123,4,4,3,1,linear,0.1,364,91,seed=123|dim=4|fold=3|reps=1|ent=linear,0.30470120000245515,0.6703296703296703,1.0,0.11764705882352941,0.21052631578947367,0.9287925696594427
123,4,4,3,1,linear,1.0,364,91,seed=123|dim=4|fold=3|reps=1|ent=linear,0.30470120000245515,0.8241758241758241,0.75,0.7941176470588235,0.7714285714285715,0.9287925696594428
123,4,4,3,1,linear,10.0,364,91,seed=123|dim=4|fold=3|reps=1|ent=linear,0.30470120000245515,0.8351648351648352,0.7567567567567568,0.8235294117647058,0.7887323943661971,0.9091847265221878
123,4,4,3,1,linear,100.0,364,91,seed=123|dim=4|fold=3|reps=1|ent=linear,0.30470120000245515,0.8241758241758241,0.75,0.7941176470588235,0.7714285714285715,0.8911248710010319
123,4,4,3,1,full,0.01,364,91,seed=123|dim=4|fold=3|reps=1|ent=full,0.4298105000052601,0.6263736263736264,0.0,0.0,0.0,0.9736842105263159
123,4,4,3,1,full,0.1,364,91,seed=123|dim=4|fold=3|reps=1|ent=full,0.4298105000052601,0.7252747252747253,1.0,0.2647058823529412,0.4186046511627907,0.9742002063983488
123,4,4,3,1,full,1.0,364,91,seed=123|dim=4|fold=3|reps=1|ent=full,0.4298105000052601,0.9010989010989011,0.8571428571428571,0.8823529411764706,0.8695652173913043,0.9803921568627452
